wdid,teff,logL,parallax,Dpc,G,BP,RP
2MASS J09411519+0901549,8634.0,,11.16901593,89.53,16.76026,16.822279,16.632137
2MASS J10180002+0838206,7539.0,,22.87574769,43.71,16.326914,16.43801,16.10431
2MASS J12334759+1253454,6698.0,,19.85342369,50.37,17.10441,17.276392,16.79894
6dFGS gJ215027.8-011348,8652.0,,11.03552438,90.62,17.444263,17.48999,17.321117
A2 287,9134.0,,10.28564664,97.22,17.412134,17.458279,17.328959
BD-18 3019B,5736.0,-3.77,53.19044394,18.80,15.440838,15.718997,14.918241
CSO 1025,8046.0,,11.62402545,86.03,17.617304,17.706816,17.430878
EGGR 182,9527.0,-3.28,43.36369274,23.06,15.069597,15.106783,14.978534
EGGR 251,8053.0,-3.33,36.22795888,27.60,15.111236,15.192717,14.9442215
EGGR 262,9851.0,-2.88,31.02195154,32.24,14.998784,15.035167,14.91646
EGGR 362,6372.0,,23.30869684,42.90,16.908352,17.071672,16.512104
EGGR 507,7902.0,-3.3,45.28594097,22.08,14.852538,14.959427,14.647421
EGGR 51,6807.0,-3.63,41.0293063,24.37,15.51226,15.688606,15.197553
EGGR 532,8440.0,,16.78022708,59.59,16.667257,16.741138,16.534285
G 34-49,7468.0,,16.34277235,61.19,17.111774,17.239735,16.917555
GD 311,7307.0,,17.17789146,58.21,16.3513,16.475676,16.123848
GD 352,7822.0,,17.98232568,55.61,16.755936,16.861528,16.577835
GD 524,14331.0,,21.24114826,47.08,16.142376,16.07471,16.267378
GJ 1015 B,10487.0,-3.05,43.65935569,22.90,13.998035,14.009648,13.946325
GJ 1086,6228.0,-3.8,89.1120674,11.22,14.425181,14.690135,13.992338
GJ 2012,5262.0,-3.94,109.9276417,9.10,14.297183,14.665041,13.753858
GJ 3306,6601.0,-3.61,106.3389897,9.40,13.600672,13.80703,13.237787
GJ 3614,5754.0,-4.14,70.83755934,14.12,15.838033,16.092281,15.345789
GJ 440,8062.0,-3.28,215.6752734,4.64,11.423104,11.515765,11.230018
GJ 836.5,7516.0,-3.09,90.54537622,11.04,13.174672,13.252464,13.018805
GJ 841 B,6549.0,-3.44,67.30235878,14.86,14.51622,14.718405,14.137174
GJ 893.1,7630.0,-3.39,38.5786,25.92,15.3245,15.4424,15.0912
Gaia DR2 1015768939554753920,5303.0,,12.13135161,82.43,19.084715,19.435272,18.55707
Gaia DR2 101854122928108288,7826.0,,13.53493224,73.88,17.43848,17.543085,17.270504
Gaia DR2 1077834348013805440,8663.0,,16.746438,59.71,16.937275,17.04283,16.773687
Gaia DR2 1078435609075419264,8793.0,,19.08189145,52.41,16.888966,16.978073,16.736355
Gaia DR2 113243787786327296,6522.0,,10.17849156,98.25,19.255236,19.670856,18.782766
Gaia DR2 1233331229487768448,5803.0,,15.50867407,64.48,18.362593,18.691408,17.888842
Gaia DR2 1260450030951612416,5480.0,,14.44517496,69.23,18.488813,18.852987,17.982582
Gaia DR2 1416764167393932160,4907.0,,11.80927314,84.68,19.579376,20.258215,18.92769
Gaia DR2 1422782516088307840,17251.0,,10.46274527,95.58,17.362808,17.274187,17.571762
Gaia DR2 1428562506980546688,7882.0,,10.67330199,93.69,18.23513,18.3613,17.976433
Gaia DR2 1523861990123367808,5608.0,,10.56164767,94.68,19.638752,20.112766,19.005623
Gaia DR2 15592281767723392,5199.0,,11.01243294,90.81,19.136387,19.537151,18.492641
Gaia DR2 1627688941853399680,7936.0,,10.36923899,96.44,17.923035,18.026276,17.78112
Gaia DR2 1687084559986707840,6075.0,,10.7471946,93.05,18.630543,18.884802,18.14696
Gaia DR2 1711656828096550272,9235.0,,15.44836959,64.73,16.891981,16.9745,16.762005
Gaia DR2 187330225592045824,6173.0,,18.96774271,52.72,17.396095,17.679884,16.939953
Gaia DR2 1920126431748251776,,,13.18883188,75.82,16.031506,16.145939,15.71236
Gaia DR2 1937827194563435648,8833.0,,11.85123812,84.38,17.496553,17.552216,17.299967
Gaia DR2 1937913952906030848,8692.0,,12.75957477,78.37,17.412806,17.501972,17.242815
Gaia DR2 19399306419780224,6163.0,,12.22596422,81.79,18.780735,19.069756,18.274252
Gaia DR2 195470288131984128,8952.0,,27.84142839,35.92,15.533141,15.595385,15.406548
Gaia DR2 1960003244583384960,8812.0,,10.10608722,98.95,17.983297,18.081978,17.83438
Gaia DR2 1972829799343330432,9287.0,,11.4694822,87.19,17.476673,17.550209,17.357515
Gaia DR2 2010655404533609216,5585.0,,13.82343774,72.34,18.565985,18.933311,18.058075
Gaia DR2 2036011173452836736,9963.0,,12.44031066,80.38,17.861334,17.919294,17.774744
Gaia DR2 2047102054631445504,4543.0,,13.47192601,74.23,18.849737,19.405306,18.202982
Gaia DR2 2066251179185657856,8668.0,,11.87328067,84.22,17.299803,17.357431,17.219007
Gaia DR2 2085482947528338560,8205.0,,17.28751934,57.85,17.079435,17.203465,16.873371
Gaia DR2 2087569060381096960,12789.0,,13.52886664,73.92,17.342812,17.320347,17.435766
Gaia DR2 2091088597099984000,6554.0,,10.00157399,99.98,18.664448,18.911602,18.310102
Gaia DR2 2117089573196362112,8841.0,,13.36514769,74.82,17.356127,17.45,17.205103
Gaia DR2 2122880116823483776,5005.0,,10.7997111,92.60,19.913002,20.354177,19.376532
Gaia DR2 2183635178007956736,9073.0,,15.19015117,65.83,16.99807,17.083906,16.847713
Gaia DR2 2208124536065383424,8971.0,,12.38911715,80.72,16.42019,16.48569,16.221573
Gaia DR2 2253826832091026560,12059.0,,11.5960218,86.24,17.518778,17.478075,17.58509
Gaia DR2 2283760245882786560,5473.0,,14.6514188,68.25,18.331432,18.646137,17.83861
Gaia DR2 2307289214897332480,8903.0,,10.67864757,93.64,16.259844,16.301641,16.130476
Gaia DR2 2310995767378550016,8219.0,,17.84885032,56.03,16.945953,17.017633,16.803658
Gaia DR2 2324148950103276800,5794.0,,18.59695228,53.77,18.53695,19.070457,17.8193
Gaia DR2 2388641457465576192,7508.0,,16.11961694,62.04,17.15294,17.27307,16.934175
Gaia DR2 2397370823876081408,8283.0,,15.54029928,64.35,16.929832,16.99888,16.790033
Gaia DR2 2424913628807069056,7784.0,,10.90390996,91.71,17.880392,17.977648,17.69674
Gaia DR2 2528877194857837184,5506.0,,23.12271337,43.25,16.74807,17.086424,16.24046
Gaia DR2 2585711397573234816,8873.0,,11.70213867,85.45,17.317318,17.396122,17.227606
Gaia DR2 2589844972883309568,5988.0,,11.76413886,85.00,18.60063,18.82342,18.222893
Gaia DR2 2632639545983774848,10254.0,,13.054789,76.60,17.628353,17.68424,17.54851
Gaia DR2 2662208372887759744,11059.0,,15.34568694,65.16,17.121572,17.131325,17.120916
Gaia DR2 2807784223505933952,8528.0,,14.44725806,69.22,17.225393,17.342003,17.04773
Gaia DR2 2832497985019340416,8167.0,,10.11170563,98.90,17.88095,17.980658,17.701902
Gaia DR2 2889456359534732800,7698.0,,10.59467808,94.39,17.86459,17.97835,17.652458
Gaia DR2 2911288266709958272,8972.0,,11.65991789,85.76,17.53901,17.625465,17.378376
Gaia DR2 2935415125246460032,6077.0,,12.54381831,79.72,18.71894,19.031147,18.175571
Gaia DR2 2957248776169007616,6444.0,,17.16101927,58.27,17.862957,18.106316,17.44893
Gaia DR2 2959844589980615936,9478.0,,23.03129056,43.42,16.803085,16.8642,16.659874
Gaia DR2 298575474900387072,7104.0,,15.72257081,63.60,17.544573,17.65564,17.206902
Gaia DR2 3030820432081929088,4362.0,,13.01656852,76.83,18.873,19.563345,18.094795
Gaia DR2 3055999768051212416,12051.0,,12.88867772,77.59,17.519753,17.507843,17.545973
Gaia DR2 3075976794811325952,5317.0,,13.43375571,74.44,18.669443,19.04871,18.140827
Gaia DR2 3114596105649038208,5017.0,,16.83517342,59.40,18.384293,18.821815,17.792269
Gaia DR2 3152802902063152896,7185.0,,12.35425802,80.94,18.194775,18.41461,17.880907
Gaia DR2 3200232157189930880,7532.0,,15.19778202,65.80,17.24718,17.361843,17.049486
Gaia DR2 3225569371860436096,8800.0,,11.14014444,89.77,17.786905,17.89866,17.626333
Gaia DR2 3328058591603302784,9145.0,,13.31015791,75.13,17.242142,17.322998,17.104685
Gaia DR2 3412412539568873728,7712.0,,11.53520519,86.69,18.169039,18.304152,17.90569
Gaia DR2 3448161618255210368,8923.0,,13.46676995,74.26,17.923002,18.059961,17.795708
Gaia DR2 3471371484080115456,6074.0,,12.19574292,82.00,18.439518,18.669426,18.013306
Gaia DR2 3491005871238965632,5768.0,,11.65999388,85.76,18.009335,18.346796,17.503992
Gaia DR2 3508725463193741696,8436.0,,17.49076713,57.17,17.163004,17.271408,16.978085
Gaia DR2 3547367563129984384,8953.0,,15.09787305,66.23,17.429052,17.512165,17.286856
Gaia DR2 3562398363821309440,5597.0,,10.49735877,95.26,19.2364,19.523594,18.784733
Gaia DR2 357457350520905216,8154.0,,17.6436291,56.68,16.992226,17.113688,16.800192
Gaia DR2 3590076408682937600,8064.0,,14.18079488,70.52,17.231571,17.323975,17.06757
Gaia DR2 3607853003443272576,8594.0,,19.90953698,50.23,16.590311,16.688353,16.391933
Gaia DR2 3624419787520057472,7925.0,,21.28446602,46.98,16.71294,16.84941,16.458605
Gaia DR2 3684069981248650624,8192.0,,11.73969182,85.18,17.858234,17.981218,17.618374
Gaia DR2 3699324841795942272,5384.0,,11.15849388,89.62,19.361649,19.774067,18.823599
Gaia DR2 3770654288553791232,7914.0,,14.55790845,68.69,17.119724,17.218803,16.958925
Gaia DR2 3790932787663209344,7846.0,,11.77186363,84.95,17.73723,17.84117,17.569931
Gaia DR2 3961323069532233984,5657.0,,11.95706609,83.63,18.71718,19.01596,18.274084
Gaia DR2 401215160231429120,12321.0,,12.01023912,83.26,17.74022,17.714777,17.781488
Gaia DR2 4057119497570789888,8429.0,,10.2442741,97.62,17.990429,18.104864,17.801304
Gaia DR2 4128167950420485632,13762.0,,11.57624747,86.38,17.485718,17.42934,17.613796
Gaia DR2 4131862957999471744,4421.0,,16.64028529,60.10,18.649324,19.15519,17.986368
Gaia DR2 413330854959153792,7914.0,,13.30914876,75.14,18.019417,18.136992,17.819265
Gaia DR2 4139684681854263936,7493.0,,16.67321593,59.98,17.404943,17.564974,17.124004
Gaia DR2 4140966708116861440,6007.0,,10.61181866,94.23,18.88717,19.096497,18.548754
Gaia DR2 4213471120498390784,14499.0,,17.66551687,56.61,16.568048,16.489403,16.670855
Gaia DR2 4336571785203401472,12008.0,,14.67439787,68.15,17.37311,17.37136,17.387665
Gaia DR2 4359722208685335552,6065.0,,25.9979958,38.46,16.770056,17.046135,16.34175
Gaia DR2 4401198845301201152,7804.0,,10.01293607,99.87,18.450573,18.576906,18.292538
Gaia DR2 442497084509645568,9241.0,,19.14101184,52.24,16.348726,16.415928,16.2159
Gaia DR2 446203228969067392,8696.0,,10.2461862,97.60,17.916798,18.000282,17.745077
Gaia DR2 4508113436149576960,7788.0,,10.94629514,91.36,17.78308,17.914776,17.595182
Gaia DR2 4520056606339200640,4060.0,,20.61910168,48.50,18.410812,19.093739,17.6414
Gaia DR2 4523862325302052736,7896.0,,10.58656592,94.46,17.86885,17.960802,17.634619
Gaia DR2 4555293235271174016,5880.0,,11.49704468,86.98,19.10975,19.469217,18.700794
Gaia DR2 4577259489030858240,9620.0,,11.41623314,87.59,17.409222,17.467436,17.28976
Gaia DR2 4653722929233862272,8021.0,,23.05140529,43.38,16.126148,16.194866,15.928379
Gaia DR2 4653893040002306432,,,18.57425512,53.84,13.801808,13.932969,13.416043
Gaia DR2 4712727980220151424,8581.0,,13.06664336,76.53,17.091269,17.160984,16.992622
Gaia DR2 4776336720752166912,8081.0,,10.04231078,99.58,18.094498,18.197844,17.957695
Gaia DR2 4800846724720035200,7604.0,,13.5690017,73.70,17.4673,17.573837,17.263094
Gaia DR2 4810712058441496704,7911.0,,10.85592964,92.12,17.85211,17.966354,17.65222
Gaia DR2 485919719266692736,8928.0,,11.13904305,89.77,17.768063,17.878807,17.616611
Gaia DR2 4880759500412788352,8532.0,,14.65386544,68.24,17.224804,17.334583,17.030294
Gaia DR2 4882772946717904768,9162.0,,10.61757286,94.18,19.519947,19.594288,19.420473
Gaia DR2 4895488558175045504,8755.0,,16.71092873,59.84,16.900244,16.991129,16.722885
Gaia DR2 4921827187420093568,6947.0,,10.75186738,93.01,17.920101,18.110283,17.626879
Gaia DR2 4930701590582509056,8162.0,,12.04130199,83.05,17.47827,17.56036,17.308
Gaia DR2 4944707234120342528,7914.0,,11.48941651,87.04,17.615246,17.705236,17.470503
Gaia DR2 5012284833670868736,6582.0,,10.24950312,97.57,19.402529,19.695616,18.989561
Gaia DR2 5025231827901569664,8082.0,,14.59969779,68.49,17.981922,18.10927,17.749409
Gaia DR2 5028370104669522816,7121.0,,10.60687309,94.28,18.11369,18.259382,17.863039
Gaia DR2 5047855310435741312,7956.0,,13.33430259,74.99,17.143024,17.215204,17.013866
Gaia DR2 5171072763900932480,7031.0,,14.70295774,68.01,19.282001,19.94428,18.368343
Gaia DR2 5207394168452773888,5940.0,,10.98404224,91.04,19.326204,19.86999,18.594687
Gaia DR2 522258333750337536,8874.0,,16.73997919,59.74,16.908798,16.989658,16.733088
Gaia DR2 5226982071180464768,8014.0,,13.6405495,73.31,17.205168,17.288546,17.065136
Gaia DR2 5261849646481125760,8066.0,,10.90467834,91.70,18.356785,18.387981,18.176786
Gaia DR2 5271072526109138176,4443.0,,25.71869041,38.88,18.157343,18.78406,17.427525
Gaia DR2 5319588923360632704,7567.0,,13.06942673,76.51,17.661964,17.775272,17.455246
Gaia DR2 5339103433752838528,8152.0,,16.59433815,60.26,16.706913,16.783157,16.576204
Gaia DR2 5341290362323438592,6307.0,,14.88098876,67.20,18.764244,19.149092,18.223942
Gaia DR2 5389748622894270848,7584.0,,14.12710353,70.79,16.566902,16.684942,16.338036
Gaia DR2 5426155304016807296,5948.0,,11.39454206,87.76,19.12741,19.674526,18.440493
Gaia DR2 5432581777684448128,6658.0,,16.1868455,61.78,17.845371,18.119379,17.403463
Gaia DR2 5445784850748180480,11128.0,,10.73860095,93.12,17.710142,17.722612,17.674208
